fecha,clae6,puestos
2007-01-01,11111,2859
2007-01-01,11112,4037
2007-01-01,11119,21462
2007-01-01,11121,2168
2007-01-01,11129,1078
2007-01-01,11130,406
2007-01-01,11211,26728
2007-01-01,11291,480
2007-01-01,11299,5573
2007-01-01,11310,2856
2007-01-01,11321,750
2007-01-01,11329,3066
2007-01-01,11331,2702
2007-01-01,11341,305
2007-01-01,11342,997
2007-01-01,11400,20156
2007-01-01,11501,4447
2007-01-01,11509,5
2007-01-01,11911,915
2007-01-01,11912,1229
2007-01-01,11990,326
2007-01-01,12110,19854
2007-01-01,12121,941
2007-01-01,12200,5344
2007-01-01,12311,29859
2007-01-01,12319,1022
2007-01-01,12320,4196
2007-01-01,12410,171
2007-01-01,12420,590
2007-01-01,12490,4139
2007-01-01,12510,3367
2007-01-01,12590,-99
2007-01-01,12600,1353
2007-01-01,12701,2763
2007-01-01,12709,443
2007-01-01,12800,184
2007-01-01,12900,436
2007-01-01,13011,1467
2007-01-01,13012,398
2007-01-01,13013,257
2007-01-01,13019,2004
2007-01-01,13020,1032
2007-01-01,14113,58467
2007-01-01,14114,6188
2007-01-01,14115,1346
2007-01-01,14121,1022
2007-01-01,14211,370
2007-01-01,14221,1347
2007-01-01,14410,4060
2007-01-01,14420,54
2007-01-01,14430,49
2007-01-01,14440,-99
2007-01-01,14510,1854
2007-01-01,14520,178
2007-01-01,14610,10869
2007-01-01,14620,73
2007-01-01,14710,480
2007-01-01,14720,34
2007-01-01,14810,3439
2007-01-01,14820,4061
2007-01-01,14910,916
2007-01-01,14920,29
2007-01-01,14930,100
2007-01-01,14990,529
2007-01-01,16111,2335
2007-01-01,16112,1137
2007-01-01,16113,777
2007-01-01,16119,1804
2007-01-01,16120,4051
2007-01-01,16130,4849
2007-01-01,16140,341
2007-01-01,16150,123
2007-01-01,16190,3612
2007-01-01,16210,170
2007-01-01,16220,466
2007-01-01,16230,45
2007-01-01,16291,765
2007-01-01,16292,237
2007-01-01,16299,827
2007-01-01,17010,49
2007-01-01,17020,46
2007-01-01,21010,1074
2007-01-01,21020,182
2007-01-01,21030,357
2007-01-01,22010,2694
2007-01-01,22020,1850
2007-01-01,24010,2813
2007-01-01,24020,1968
2007-01-01,31110,6484
2007-01-01,31120,8397
2007-01-01,31130,-99
2007-01-01,31200,300
2007-01-01,31300,255
2007-01-01,32000,136
2007-01-01,51000,178
